date,year,source,value
01/07/2001,2001,ONS mid-year estimates,7322403
01/07/2002,2002,ONS mid-year estimates,7376671
01/07/2003,2003,ONS mid-year estimates,7394817
01/07/2004,2004,ONS mid-year estimates,7432730
01/07/2005,2005,ONS mid-year estimates,7519009
01/07/2006,2006,ONS mid-year estimates,7597825
01/07/2007,2007,ONS mid-year estimates,7693473
01/07/2008,2008,ONS mid-year estimates,7812161
01/07/2009,2009,ONS mid-year estimates,7942594
01/07/2010,2010,ONS mid-year estimates,8061495
01/07/2011,2011,ONS mid-year estimates,8204407
01/07/2012,2012,ONS mid-year estimates,8320767
01/07/2013,2013,ONS mid-year estimates,8438987
01/07/2014,2014,ONS mid-year estimates,8547192
01/07/2015,2015,ONS mid-year estimates,8659545
01/07/2016,2016,ONS mid-year estimates,8743651
01/07/2017,2017,ONS mid-year estimates,8776229
01/07/2018,2018,ONS mid-year estimates,8833335
01/07/2019,2019,ONS mid-year estimates,8889743
01/07/2020,2020,ONS mid-year estimates,8867008
01/07/2021,2021,ONS mid-year estimates,8804769
01/07/2022,2022,ONS mid-year estimates,8866180
21/03/2001,2001,Census estimates,7172091
21/03/2011,2011,Census estimates,8173941
21/03/2021,2021,Census estimates,8799800
